广东,#genre#
广东4K,http://192.168.6.6:8888/rtp/239.77.0.244:5146?fcc=183.59.144.166:8027
广东4K,http://192.168.6.6:8888/rtp/239.77.0.245:5146?fcc=183.59.144.166:8027
广东4K,http://192.168.6.6:8888/rtp/239.77.1.237:5146?fcc=183.59.144.166:8027
广东卫视,http://192.168.6.6:8888/rtp/239.77.0.66:5146?fcc=183.59.144.166:8027
广东卫视,http://192.168.6.6:8888/rtp/239.77.0.65:5146?fcc=183.59.144.166:8027
广东卫视,http://192.168.6.6:8888/rtp/239.77.0.166:5146?fcc=183.59.144.166:8027
广东卫视,http://192.168.6.6:8888/rtp/239.77.0.4:5146?fcc=183.59.144.166:8027
广东卫视,http://192.168.6.6:8888/rtp/239.77.0.84:5146?fcc=183.59.144.166:8027
经济科教,http://192.168.6.6:8888/rtp/239.77.0.167:5146?fcc=183.59.144.166:8027
经济科教,http://192.168.6.6:8888/rtp/239.77.0.85:5146?fcc=183.59.144.166:8027
广东体育,http://192.168.6.6:8888/rtp/239.77.0.168:5146?fcc=183.59.144.166:8027
广东体育,http://192.168.6.6:8888/rtp/239.77.0.112:5146?fcc=183.59.144.166:8027
广东珠江,http://192.168.6.6:8888/rtp/239.77.0.114:5146?fcc=183.59.144.166:8027
广东珠江,http://192.168.6.6:8888/rtp/239.77.0.1:5146?fcc=183.59.144.166:8027
广东新闻,http://192.168.6.6:8888/rtp/239.77.0.173:5146?fcc=183.59.144.166:8027
广东民生,http://192.168.6.6:8888/rtp/239.77.0.225:5146?fcc=183.59.144.166:8027
大湾区卫视,http://192.168.6.6:8888/rtp/239.77.0.215:5146?fcc=183.59.144.166:8027
广东影视,http://192.168.6.6:8888/rtp/239.77.0.217:5146?fcc=183.59.144.166:8027
岭南戏曲,http://192.168.6.6:8888/rtp/239.77.0.122:5146?fcc=183.59.144.166:8027
广东少儿,http://192.168.6.6:8888/rtp/239.77.0.250:5146?fcc=183.59.144.166:8027
佛山城市生活,http://192.168.6.6:8888/rtp/239.253.43.53:5146?fcc=183.59.144.166:8027
南海频道,http://192.168.6.6:8888/rtp/239.253.43.54:5146?fcc=183.59.144.166:8027
顺德频道,http://192.168.6.6:8888/rtp/239.253.43.55:5146?fcc=183.59.144.166:8027
佛山综合,http://192.168.6.6:8888/rtp/239.253.43.57:5146?fcc=183.59.144.166:8027
广州综合,http://192.168.6.6:8888/rtp/239.253.43.71:5146?fcc=183.59.144.166:8027
广州新闻,http://192.168.6.6:8888/rtp/239.253.43.72:5146?fcc=183.59.144.166:8027
南国都市4K,http://192.168.6.6:8888/rtp/239.253.43.99:5146?fcc=183.59.144.166:8027
深圳卫视4K,http://192.168.6.6:8888/rtp/239.77.1.14:5146?fcc=183.59.144.166:8027
深圳卫视4K,http://192.168.6.6:8888/rtp/239.77.0.67:5146?fcc=183.59.144.166:8027
深圳卫视,http://192.168.6.6:8888/rtp/239.77.0.130:5146?fcc=183.59.144.166:8027
深圳卫视,http://192.168.6.6:8888/rtp/239.77.0.92:5146?fcc=183.59.144.166:8027
深圳都市,http://192.168.6.6:8888/rtp/239.77.1.176:5146?fcc=183.59.144.166:8027
深圳都市,http://192.168.6.6:8888/rtp/239.77.1.124:5146?fcc=183.59.144.166:8027
深圳电视剧,http://192.168.6.6:8888/rtp/239.77.1.177:5146?fcc=183.59.144.166:8027
深圳电视剧,http://192.168.6.6:8888/rtp/239.77.1.125:5146?fcc=183.59.144.166:8027
深圳财经生活,http://192.168.6.6:8888/rtp/239.77.1.242:5146?fcc=183.59.144.166:8027
深圳体育健康,http://192.168.6.6:8888/rtp/239.77.1.128:5146?fcc=183.59.144.166:8027
